"meth_diff"	"meth_sd"	"n"	"case_prop"	"power"	"avg_or_persd"	"min_or_persd"	"max_or_persd"	"K"
0.05	0.05	5000	0.12	1	2.71838304663238	2.29612552123898	3.31967533505322	"0.12"
0.05	0.05	5000	0.33	1	2.71759707802799	2.39979462726714	3.09028875982495	"0.33"
0.05	0.05	5500	0.12	1	2.72049821669573	2.22787969603772	3.2830084625711	"0.12"
0.05	0.05	5500	0.33	1	2.7206852747591	2.43019433534224	3.07907618874308	"0.33"
0.05	0.05	6000	0.12	1	2.72181283143725	2.2988719119378	3.20065508869422	"0.12"
0.05	0.05	6000	0.33	1	2.72060311948054	2.41637358397267	3.11406815224863	"0.33"
0.05	0.1	3000	0.12	0.9994	1.64886476763673	1.30588816205555	1.99718601648478	"0.12"
0.05	0.1	3000	0.33	1	1.64775604127907	1.40858113400507	1.97075278262597	"0.33"
0.05	0.1	3500	0.12	1	1.64964227820131	1.35844615313591	2.00007625549174	"0.12"
0.05	0.1	3500	0.33	1	1.6492812750352	1.40941779228081	1.92826466243531	"0.33"
0.05	0.1	4000	0.12	1	1.6485999335462	1.36759537368597	1.96838087136026	"0.12"
0.05	0.1	4000	0.33	1	1.64918338248462	1.45146490028353	1.87933736110095	"0.33"
0.05	0.1	4500	0.12	1	1.64764389227055	1.38022073437957	1.91916923743845	"0.12"
0.05	0.1	4500	0.33	1	1.64815900713484	1.46977890160204	1.87070233456595	"0.33"
0.05	0.1	5000	0.12	1	1.64832030042526	1.36866979752633	1.97775294297378	"0.12"
0.05	0.1	5000	0.33	1	1.65016559531998	1.47290369399052	1.84003316509766	"0.33"
0.05	0.1	5500	0.12	1	1.64716096955197	1.43138530814279	1.90541466872041	"0.12"
0.05	0.1	5500	0.33	1	1.64845481476432	1.48504103131285	1.89403609078853	"0.33"
0.05	0.1	6000	0.12	1	1.64976219407787	1.40056454111782	1.87941584401283	"0.12"
0.05	0.1	6000	0.33	1	1.64948851480689	1.46985250083294	1.8379183331927	"0.33"
0.05	0.15	3000	0.12	0.7122	1.39694355845505	1.10159699222387	1.69607826323919	"0.12"
0.05	0.15	3000	0.33	0.9998	1.39719337633175	1.22908605796448	1.60263111699097	"0.33"
0.05	0.15	3500	0.12	0.844	1.39546301726048	1.14494946525314	1.65177160980349	"0.12"
0.05	0.15	3500	0.33	1	1.39562718736441	1.23520882103706	1.59589101917613	"0.33"
0.05	0.15	4000	0.12	0.9296	1.39634073158639	1.17479620439853	1.64641575404504	"0.12"
0.05	0.15	4000	0.33	1	1.39541156940716	1.24386457408725	1.58980919793622	"0.33"
0.05	0.15	4500	0.12	0.9688	1.395399840601	1.18112939144955	1.65074778790064	"0.12"
0.05	0.15	4500	0.33	1	1.39726163129748	1.23854806387479	1.56559842107552	"0.33"
0.05	0.15	5000	0.12	0.9882	1.39562288582845	1.20423858536958	1.6185239849096	"0.12"
0.05	0.15	5000	0.33	1	1.39706270479296	1.2486615404155	1.56000186449843	"0.33"
0.05	0.15	5500	0.12	0.9952	1.39840473147192	1.20918765278063	1.6376383099781	"0.12"
0.05	0.15	5500	0.33	1	1.39582676519429	1.26015376725878	1.55454853022235	"0.33"
0.05	0.15	6000	0.12	0.9988	1.39378291256877	1.21863840407954	1.62000654930511	"0.12"
0.05	0.15	6000	0.33	1	1.39595473574617	1.25127100667345	1.54991837057001	"0.33"
0.05	0.2	3000	0.12	0.1834	1.28380574342154	1.07304650426747	1.59540852708216	"0.12"
0.05	0.2	3000	0.33	0.8508	1.28312581156086	1.10469571665818	1.47729230054725	"0.33"
0.05	0.2	3500	0.12	0.3066	1.28602497149986	1.08080739361405	1.57218390685475	"0.12"
0.05	0.2	3500	0.33	0.9448	1.28436522087317	1.12884726467668	1.4736050793905	"0.33"
0.05	0.2	4000	0.12	0.4178	1.28629765489851	1.07833124939584	1.55501218733347	"0.12"
0.05	0.2	4000	0.33	0.9796	1.28351425756034	1.13510848474084	1.43244982071767	"0.33"
0.05	0.2	4500	0.12	0.539	1.28447671041877	1.0748808622562	1.54568447855271	"0.12"
0.05	0.2	4500	0.33	0.9934	1.28405472154819	1.14431873794243	1.44019407731828	"0.33"
0.05	0.2	5000	0.12	0.6572	1.2850103901645	1.09669976414931	1.49156967359226	"0.12"
0.05	0.2	5000	0.33	0.9992	1.28493652143231	1.13616454491538	1.45653438959664	"0.33"
0.05	0.2	5500	0.12	0.7516	1.28431405598307	1.09763046423383	1.48417578489411	"0.12"
0.05	0.2	5500	0.33	0.9998	1.2853761389696	1.16433224637984	1.43697659728142	"0.33"
0.05	0.2	6000	0.12	0.8276	1.28257347516285	1.09544105680367	1.47999419948228	"0.12"
0.05	0.2	6000	0.33	0.9998	1.28402243840725	1.14508929610861	1.42072563755351	"0.33"
